      i          j        RA          k  l     Dec        m n         mag        
       65         705      3.5440e+01   0. 0. 	-6.8659e+01 0. 0.      4.0900e+00
       66         718      3.7039e+01   0. 0. 	 8.4601e+00 0. 0.      4.2800e+00
       67         721      3.6746e+01   0. 0. 	-4.7704e+01 0. 0.      4.2500e+00
       68         779      3.9870e+01   0. 0. 	 3.2875e-01 0. 0.      4.0700e+00
       69         794      4.0164e+01   0. 0. 	-3.9855e+01 0. 0.      4.1100e+00
       70         799      4.1043e+01   0. 0. 	 4.9230e+01 0. 0.      4.1200e+00
       71         804      4.0827e+01   0. 0. 	 3.2377e+00 0. 0.      3.4700e+00
       72         806      3.9894e+01   0. 0. 	-6.8267e+01 0. 0.      4.1100e+00
       73         811      4.1030e+01   0. 0. 	-1.3858e+01 0. 0.      4.2500e+00
       74         813      4.1232e+01   0. 0. 	 1.0114e+01 0. 0.      4.2700e+00
       75         818      4.1271e+01   0. 0. 	-1.8573e+01 0. 0.      4.4700e+00
       76         834      4.2674e+01   0. 0. 	 5.5896e+01 0. 0.      3.7600e+00
       77         838      4.2495e+01   0. 0. 	 2.7262e+01 0. 0.      3.6300e+00
       78         840      4.2642e+01   0. 0. 	 3.8320e+01 0. 0.      4.2300e+00
       79         841      4.2271e+01   0. 0. 	-3.2408e+01 0. 0.      4.4600e+00
       80         854      4.3564e+01   0. 0. 	 5.2763e+01 0. 0.      3.9500e+00
       81         868      4.3467e+01   0. 0. 	-4.9891e+01 0. 0.      4.0000e+00
       82         874      4.4106e+01   0. 0. 	-8.8950e+00 0. 0.      3.8900e+00
       83         897      4.4566e+01   0. 0. 	-4.0305e+01 0. 0.      3.4200e+00
       84         898      4.4569e+01   0. 0. 	-4.0305e+01 0. 0.      4.4200e+00
       85         911      4.5570e+01   0. 0. 	 4.0907e+00 0. 0.      2.5300e+00
       86         915      4.6199e+01   0. 0. 	 5.3507e+01 0. 0.      2.9300e+00
       87         919      4.5600e+01   0. 0. 	-2.3623e+01 0. 0.      4.0900e+00
       88         921      4.6292e+01   0. 0. 	 3.8842e+01 0. 0.      3.3900e+00
       89         936      4.7042e+01   0. 0. 	 4.0956e+01 0. 0.      2.1200e+00
       90         937      4.7240e+01   0. 0. 	 4.9614e+01 0. 0.      4.0500e+00
       91         941      4.7370e+01   0. 0. 	 4.4859e+01 0. 0.      3.8000e+00
       92         951      4.7905e+01   0. 0. 	 1.9727e+01 0. 0.      4.3500e+00
       93         963      4.8012e+01   0. 0. 	-2.8996e+01 0. 0.      3.8700e+00
       94         999      5.0085e+01   0. 0. 	 2.9049e+01 0. 0.      4.4700e+00
       95        1003      4.9878e+01   0. 0. 	-2.1758e+01 0. 0.      3.6900e+00
       96        1008      4.9924e+01   0. 0. 	-4.3080e+01 0. 0.      4.2700e+00
       97        1017      5.1080e+01   0. 0. 	 4.9861e+01 0. 0.      1.7900e+00
       98        1030      5.1204e+01   0. 0. 	 9.0298e+00 0. 0.      3.6000e+00
       99        1035      5.2267e+01   0. 0. 	 5.9940e+01 0. 0.      4.2100e+00
      100        1038      5.1792e+01   0. 0. 	 9.7332e+00 0. 0.      3.7400e+00
      101        1052      5.2643e+01   0. 0. 	 4.7995e+01 0. 0.      4.3600e+00
      102        1066      5.2718e+01   0. 0. 	 1.2937e+01 0. 0.      4.1100e+00
      103        1084      5.3246e+01   0. 0. 	-9.4583e+00 0. 0.      3.7300e+00
      104        1087      5.4122e+01   0. 0. 	 4.8193e+01 0. 0.      4.2300e+00
      105        1088      5.3446e+01   0. 0. 	-2.1632e+01 0. 0.      4.2700e+00
      106        1101      5.4222e+01   0. 0. 	 4.0828e-01 0. 0.      4.2800e+00
      107        1122      5.5731e+01   0. 0. 	 4.7788e+01 0. 0.      3.0100e+00
      108        1131      5.6079e+01   0. 0. 	 3.2288e+01 0. 0.      3.8300e+00
      109        1135      5.6299e+01   0. 0. 	 4.2579e+01 0. 0.      3.7700e+00
      110        1136      5.5813e+01   0. 0. 	-9.7734e+00 0. 0.      3.5400e+00
      111        1142      5.6219e+01   0. 0. 	 2.4114e+01 0. 0.      3.7000e+00
      112        1145      5.6302e+01   0. 0. 	 2.4468e+01 0. 0.      4.3000e+00
      113        1149      5.6456e+01   0. 0. 	 2.4368e+01 0. 0.      3.8700e+00
      114        1155      5.7380e+01   0. 0. 	 6.5526e+01 0. 0.      4.4700e+00
      115        1156      5.6581e+01   0. 0. 	 2.3949e+01 0. 0.      4.1800e+00
      116        1162      5.6534e+01   0. 0. 	-1.2102e+01 0. 0.      4.4200e+00
      117        1165      5.6871e+01   0. 0. 	 2.4106e+01 0. 0.      2.8700e+00
      118        1173      5.6714e+01   0. 0. 	-2.3242e+01 0. 0.      4.2300e+00
      119        1175      5.6040e+01   0. 0. 	-6.4808e+01 0. 0.      3.8500e+00
      120        1178      5.7290e+01   0. 0. 	 2.4054e+01 0. 0.      3.6300e+00
      121        1195      5.7364e+01   0. 0. 	-3.6200e+01 0. 0.      4.1700e+00
      122        1203      5.8533e+01   0. 0. 	 3.1884e+01 0. 0.      2.8500e+00
      123        1208      5.6807e+01   0. 0. 	-7.4240e+01 0. 0.      3.2400e+00
      124        1220      5.9463e+01   0. 0. 	 4.0011e+01 0. 0.      2.8900e+00
      125        1228      5.9741e+01   0. 0. 	 3.5791e+01 0. 0.      4.0400e+00
      126        1231      5.9507e+01   0. 0. 	-1.3507e+01 0. 0.      2.9500e+00
      127        1239      6.0170e+01   0. 0. 	 1.2490e+01 0. 0.      3.4700e+00
      128        1251      6.0789e+01   0. 0. 	 5.9893e+00 0. 0.      3.9100e+00
      129        1256      6.1172e+01   0. 0. 	 2.2083e+01 0. 0.      4.3600e+00
      130        1261      6.1646e+01   0. 0. 	 5.0352e+01 0. 0.      4.2900e+00
      131        1273      6.2165e+01   0. 0. 	 4.7713e+01 0. 0.      4.0400e+00
      132        1298      6.2966e+01   0. 0. 	-6.8386e+00 0. 0.      4.0400e+00
      133        1303      6.3724e+01   0. 0. 	 4.8409e+01 0. 0.      4.1400e+00
      134        1320      6.3883e+01   0. 0. 	 8.8926e+00 0. 0.      4.2900e+00
      135        1325      6.3849e+01   0. 0. 	-7.6049e+00 0. 0.      4.4300e+00
      136        1326      6.3500e+01   0. 0. 	-4.2292e+01 0. 0.      3.8600e+00
      137        1336      6.3605e+01   0. 0. 	-6.2474e+01 0. 0.      3.3500e+00
      138        1338      6.4004e+01   0. 0. 	-5.1489e+01 0. 0.      4.2500e+00
      139        1346      6.4947e+01   0. 0. 	 1.5628e+01 0. 0.      3.6500e+00
      140        1347      6.4472e+01   0. 0. 	-3.3798e+01 0. 0.      3.5600e+00
      141        1355      6.4122e+01   0. 0. 	-5.9300e+01 0. 0.      4.4400e+00
      142        1373      6.5732e+01   0. 0. 	 1.7543e+01 0. 0.      3.7600e+00
      143        1387      6.6340e+01   0. 0. 	 2.2294e+01 0. 0.      4.2200e+00
      144        1389      6.6371e+01   0. 0. 	 1.7929e+01 0. 0.      4.2900e+00
      145        1392      6.6575e+01   0. 0. 	 2.2814e+01 0. 0.      4.2800e+00
      146        1393      6.6008e+01   0. 0. 	-3.4017e+01 0. 0.      3.9600e+00
      147        1394      6.6585e+01   0. 0. 	 1.5619e+01 0. 0.      4.4900e+00
      148        1409      6.7152e+01   0. 0. 	 1.9181e+01 0. 0.      3.5300e+00
      149        1411      6.7142e+01   0. 0. 	 1.5963e+01 0. 0.      3.8400e+00
      150        1412      6.7164e+01   0. 0. 	 1.5871e+01 0. 0.      3.4000e+00
      151        1454      6.9172e+01   0. 0. 	 4.1265e+01 0. 0.      4.2500e+00
      152        1457      6.8979e+01   0. 0. 	 1.6512e+01 0. 0.      8.5000e-01
      153        1458      6.8913e+01   0. 0. 	 1.0161e+01 0. 0.      4.2500e+00
      154        1463      6.9080e+01   0. 0. 	-3.3523e+00 0. 0.      3.9300e+00
      155        1464      6.8888e+01   0. 0. 	-3.0562e+01 0. 0.      3.8200e+00
      156        1465      6.8498e+01   0. 0. 	-5.5045e+01 0. 0.      3.2700e+00
      157        1473      6.9538e+01   0. 0. 	 1.2511e+01 0. 0.      4.2700e+00
      158        1481      6.9546e+01   0. 0. 	-1.4302e+01 0. 0.      3.8700e+00
      159        1496      7.0110e+01   0. 0. 	-1.9670e+01 0. 0.      4.3200e+00
      160        1497      7.0561e+01   0. 0. 	 2.2957e+01 0. 0.      4.2800e+00
      161        1502      7.0143e+01   0. 0. 	-4.1863e+01 0. 0.      4.4500e+00
      162        1520      7.1375e+01   0. 0. 	-3.2541e+00 0. 0.      4.0200e+00
      163        1542      7.3513e+01   0. 0. 	 6.6343e+01 0. 0.      4.2900e+00
      164        1543      7.2453e+01   0. 0. 	 6.9609e+00 0. 0.      3.1900e+00
      165        1544      7.2653e+01   0. 0. 	 8.9005e+00 0. 0.      4.3600e+00
      166        1552      7.2801e+01   0. 0. 	 5.6049e+00 0. 0.      3.6900e+00
      167        1560      7.3224e+01   0. 0. 	-5.4528e+00 0. 0.      4.3900e+00
      168        1567      7.3563e+01   0. 0. 	 2.4405e+00 0. 0.      3.7200e+00
      169        1568      7.4322e+01   0. 0. 	 5.3752e+01 0. 0.      4.4700e+00
      170        1577      7.4248e+01   0. 0. 	 3.3166e+01 0. 0.      2.6900e+00
      171        1580      7.4094e+01   0. 0. 	 1.3515e+01 0. 0.      4.0700e+00
      172        1601      7.4637e+01   0. 0. 	 1.7141e+00 0. 0.      4.4700e+00
